Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,Idx,,,
S1Y_+1,20,36,-20,-25,72,0,-47,0,1,0,0,0,UpCondensed,S1Y_+1,,
S1Y_-1,20,25,-20,-36,72,0,47,0,1,0,0,0,DownCondensed,S1Y_-1,,
S1X_-1,30,22,-22,-30,72,-47,0,0,1,0,0,0,LeftCondensed,S1X_-1,,
S1X_+1,22,30,-30,-22,72,47,0,0,1,0,0,0,RightCondensed,S1X_+1,,
TR,22,20,-30,-36,72,47,47,0,1,0,0,0,CloserCondensed,,,
TL,30,36,-22,-20,72,-47,-47,0,1,0,0,0,FartherCondensed,,,
S1Y_+1,20,36,-20,-25,70,-47,0,0,1,0,0,0,UpCondensed,S1Y_+1,,
S1Y_-1,20,25,-20,-36,70,-47,94,0,1,0,0,0,DownCondensed,S1Y_-1,,
S1X_-1,30,22,-22,-30,70,-94,47,0,1,0,0,0,LeftCondensed,S1X_-1,,
S1X_+1,22,30,-30,-22,70,0,47,0,1,0,0,0,RightCondensed,S1X_+1,,
TR,22,20,-30,-36,70,0,94,0,1,0,0,0,CloserCondensed,,,
TL,30,36,-22,-20,70,-94,0,0,1,0,0,0,FartherCondensed,,,
S1Y_+1,20,36,-20,-25,71,47,-94,0,1,0,0,0,UpCondensed,S1Y_+1,,
S1Y_-1,20,25,-20,-36,71,47,0,0,1,0,0,0,DownCondensed,S1Y_-1,,
S1X_-1,30,22,-22,-30,71,0,-47,0,1,0,0,0,LeftCondensed,S1X_-1,,
S1X_+1,22,30,-30,-22,71,94,-47,0,1,0,0,0,RightCondensed,S1X_+1,,
TR,22,20,-30,-36,71,94,0,0,1,0,0,0,CloserCondensed,,,
TL,30,36,-22,-20,71,0,-94,0,1,0,0,0,FartherCondensed,,,
B,60,50,-60,-50,73,60,0,0,1,0,0,0,OpenMini,,,
A,60,50,-60,-50,73,-60,0,0,1,0,0,0,CloseMini,,,
Screen,40,40,-40,-40,1,1,1,1,1,0,0,0,Screen,,,
